"","flow"
"1",688.704272
"2",569.419122
"3",480.9183
"4",552.04987
"5",531.130952
"6",604.277814
"7",808.293225
"8",1082.140378
"9",1114.502357
"10",1212.645307
"11",1043.574534
"12",1065.537145
"13",922.238925
"14",713.548907
"15",581.129473
"16",519.731624
"17",509.568565
"18",562.075396
"19",851.361749
"20",1011.004647
"21",1193.310623
"22",1243.816832
"23",984.381015
"24",1021.900735
"25",771.516001
"26",562.523168
"27",516.395651
"28",497.634222
"29",457.989138
"30",527.132311
"31",614.68973
"32",868.632209
"33",973.686494
"34",1032.76247
"35",956.021943
"36",846.904123
"37",750.913537
"38",648.459318
"39",545.044126
"40",487.047434
"41",438.234301
"42",503.430219
"43",631.992599
"44",904.778956
"45",1052.37922
"46",1206.92834
"47",920.954494
